town_name,town_fips_2020,town_fips_2022,ce_name_2022,ce_fips_2022
Andover,901301080,911001080,Capitol Planning Region,9110
Ansonia,900901220,914001220,Naugatuck Valley Planning Region,9140
Ashford,901501430,915001430,Northeastern Connecticut Planning Region,9150
Avon,900302060,911002060,Capitol Planning Region,9110
Barkhamsted,900502760,916002760,Northwest Hills Planning Region,9160
Beacon Falls,900903250,914003250,Naugatuck Valley Planning Region,9140
Berlin,900304300,911004300,Capitol Planning Region,9110
Bethany,900904580,917004580,South Central Connecticut Planning Region,9170
Bethel,900104720,919004720,Western Connecticut Planning Region,9190
Bethlehem,900504930,914004930,Naugatuck Valley Planning Region,9140
Bloomfield,900305910,911005910,Capitol Planning Region,9110
Bolton,901306260,911006260,Capitol Planning Region,9110
Bozrah,901106820,918006820,Southeastern Connecticut Planning Region,9180
Branford,900907310,917007310,South Central Connecticut Planning Region,9170
Bridgeport,900108070,912008070,Greater Bridgeport Planning Region,9120
Bridgewater,900508210,919008210,Western Connecticut Planning Region,9190
Bristol,900308490,914008490,Naugatuck Valley Planning Region,9140
Brookfield,900108980,919008980,Western Connecticut Planning Region,9190
Brooklyn,901509190,915009190,Northeastern Connecticut Planning Region,9150
Burlington,900310100,916010100,Northwest Hills Planning Region,9160
Canaan,900510940,916010940,Northwest Hills Planning Region,9160
Canterbury,901512130,915012130,Northeastern Connecticut Planning Region,9150
Canton,900312270,911012270,Capitol Planning Region,9110
Chaplin,901513810,915013810,Northeastern Connecticut Planning Region,9150
Cheshire,900914160,914014160,Naugatuck Valley Planning Region,9140
Chester,900714300,913014300,Lower Connecticut River Valley Planning Region,9130
Clinton,900715350,913015350,Lower Connecticut River Valley Planning Region,9130
Colchester,901115910,918015910,Southeastern Connecticut Planning Region,9180
Colebrook,900516050,916016050,Northwest Hills Planning Region,9160
Columbia,901316400,911016400,Capitol Planning Region,9110
Cornwall,900517240,916017240,Northwest Hills Planning Region,9160
Coventry,901317800,911017800,Capitol Planning Region,9110
Cromwell,900718080,913018080,Lower Connecticut River Valley Planning Region,9130
Danbury,900118500,919018500,Western Connecticut Planning Region,9190
Darien,900118850,919018850,Western Connecticut Planning Region,9190
Deep River,900719130,913019130,Lower Connecticut River Valley Planning Region,9130
Derby,900919550,914019550,Naugatuck Valley Planning Region,9140
Durham,900720810,913020810,Lower Connecticut River Valley Planning Region,9130
East Granby,900322070,911022070,Capitol Planning Region,9110
East Haddam,900722280,913022280,Lower Connecticut River Valley Planning Region,9130
East Hampton,900722490,913022490,Lower Connecticut River Valley Planning Region,9130
East Hartford,900322630,911022630,Capitol Planning Region,9110
East Haven,900922910,917022910,South Central Connecticut Planning Region,9170
East Lyme,901123400,918023400,Southeastern Connecticut Planning Region,9180
East Windsor,900324800,911024800,Capitol Planning Region,9110
Eastford,901521860,915021860,Northeastern Connecticut Planning Region,9150
Easton,900123890,912023890,Greater Bridgeport Planning Region,9120
Ellington,901325360,911025360,Capitol Planning Region,9110
Enfield,900325990,911025990,Capitol Planning Region,9110
Essex,900726270,913026270,Lower Connecticut River Valley Planning Region,9130
Fairfield,900126620,912026620,Greater Bridgeport Planning Region,9120
Farmington,900327600,911027600,Capitol Planning Region,9110
Franklin,901129910,918029910,Southeastern Connecticut Planning Region,9180
Glastonbury,900331240,911031240,Capitol Planning Region,9110
Goshen,900532290,916032290,Northwest Hills Planning Region,9160
Granby,900332640,911032640,Capitol Planning Region,9110
Greenwich,900133620,919033620,Western Connecticut Planning Region,9190
Griswold,901133900,918033900,Southeastern Connecticut Planning Region,9180
Groton,901134250,918034250,Southeastern Connecticut Planning Region,9180
Guilford,900934950,917034950,South Central Connecticut Planning Region,9170
Haddam,900735230,913035230,Lower Connecticut River Valley Planning Region,9130
Hamden,900935650,917035650,South Central Connecticut Planning Region,9170
Hampton,901536000,915036000,Northeastern Connecticut Planning Region,9150
Hartford,900337070,911037070,Capitol Planning Region,9110
Hartland,900337140,916037140,Northwest Hills Planning Region,9160
Harwinton,900537280,916037280,Northwest Hills Planning Region,9160
Hebron,901337910,911037910,Capitol Planning Region,9110
Kent,900540290,916040290,Northwest Hills Planning Region,9160
Killingly,901540500,915040500,Northeastern Connecticut Planning Region,9150
Killingworth,900740710,913040710,Lower Connecticut River Valley Planning Region,9130
Lebanon,901142390,918042390,Southeastern Connecticut Planning Region,9180
Ledyard,901142600,918042600,Southeastern Connecticut Planning Region,9180
Lisbon,901143230,918043230,Southeastern Connecticut Planning Region,9180
Litchfield,900543370,916043370,Northwest Hills Planning Region,9160
Lyme,901144210,913044210,Lower Connecticut River Valley Planning Region,9130
Madison,900944560,917044560,South Central Connecticut Planning Region,9170
Manchester,900344700,911044700,Capitol Planning Region,9110
Mansfield,901344910,911044910,Capitol Planning Region,9110
Marlborough,900345820,911045820,Capitol Planning Region,9110
Meriden,900946520,917046520,South Central Connecticut Planning Region,9170
Middlebury,900946940,914046940,Naugatuck Valley Planning Region,9140
Middlefield,900747080,913047080,Lower Connecticut River Valley Planning Region,9130
Middletown,900747360,913047360,Lower Connecticut River Valley Planning Region,9130
Milford,900947535,917047535,South Central Connecticut Planning Region,9170
Monroe,900148620,912048620,Greater Bridgeport Planning Region,9120
Montville,901148900,918048900,Southeastern Connecticut Planning Region,9180
Morris,900549460,916049460,Northwest Hills Planning Region,9160
Naugatuck,900949950,914049950,Naugatuck Valley Planning Region,9140
New Britain,900350440,911050440,Capitol Planning Region,9110
New Canaan,900150580,919050580,Western Connecticut Planning Region,9190
New Fairfield,900150860,919050860,Western Connecticut Planning Region,9190
New Hartford,900551350,916051350,Northwest Hills Planning Region,9160
New Haven,900952070,917052070,South Central Connecticut Planning Region,9170
New London,901152350,918052350,Southeastern Connecticut Planning Region,9180
New Milford,900552630,919052630,Western Connecticut Planning Region,9190
Newington,900352140,911052140,Capitol Planning Region,9110
Newtown,900152980,919052980,Western Connecticut Planning Region,9190
Norfolk,900553470,916053470,Northwest Hills Planning Region,9160
North Branford,900953890,917053890,South Central Connecticut Planning Region,9170
North Canaan,900554030,916054030,Northwest Hills Planning Region,9160
North Haven,900954870,917054870,South Central Connecticut Planning Region,9170
North Stonington,901155500,918055500,Southeastern Connecticut Planning Region,9180
Norwalk,900156060,919056060,Western Connecticut Planning Region,9190
Norwich,901156270,918056270,Southeastern Connecticut Planning Region,9180
Old Lyme,901157040,913057040,Lower Connecticut River Valley Planning Region,9130
Old Saybrook,900757320,913057320,Lower Connecticut River Valley Planning Region,9130
Orange,900957600,917057600,South Central Connecticut Planning Region,9170
Oxford,900958300,914058300,Naugatuck Valley Planning Region,9140
Plainfield,901559980,915059980,Northeastern Connecticut Planning Region,9150
Plainville,900360120,911060120,Capitol Planning Region,9110
Plymouth,900560750,914060750,Naugatuck Valley Planning Region,9140
Pomfret,901561030,915061030,Northeastern Connecticut Planning Region,9150
Portland,900761800,913061800,Lower Connecticut River Valley Planning Region,9130
Preston,901162150,918062150,Southeastern Connecticut Planning Region,9180
Prospect,900962290,914062290,Naugatuck Valley Planning Region,9140
Putnam,901562710,915062710,Northeastern Connecticut Planning Region,9150
Redding,900163480,919063480,Western Connecticut Planning Region,9190
Ridgefield,900163970,919063970,Western Connecticut Planning Region,9190
Rocky Hill,900365370,911065370,Capitol Planning Region,9110
Roxbury,900565930,916065930,Northwest Hills Planning Region,9160
Salem,901166210,918066210,Southeastern Connecticut Planning Region,9180
Salisbury,900566420,916066420,Northwest Hills Planning Region,9160
Scotland,901567400,915067400,Northeastern Connecticut Planning Region,9150
Seymour,900967610,914067610,Naugatuck Valley Planning Region,9140
Sharon,900567960,916067960,Northwest Hills Planning Region,9160
Shelton,900168170,914068170,Naugatuck Valley Planning Region,9140
Sherman,900168310,919068310,Western Connecticut Planning Region,9190
Simsbury,900368940,911068940,Capitol Planning Region,9110
Somers,901369220,911069220,Capitol Planning Region,9110
South Windsor,900371390,911071390,Capitol Planning Region,9110
Southbury,900969640,914069640,Naugatuck Valley Planning Region,9140
Southington,900370550,911070550,Capitol Planning Region,9110
Sprague,901171670,918071670,Southeastern Connecticut Planning Region,9180
Stafford,901372090,911072090,Capitol Planning Region,9110
Stamford,900173070,919073070,Western Connecticut Planning Region,9190
Sterling,901573420,915073420,Northeastern Connecticut Planning Region,9150
Stonington,901173770,918073770,Southeastern Connecticut Planning Region,9180
Stratford,900174190,912074190,Greater Bridgeport Planning Region,9120
Suffield,900374540,911074540,Capitol Planning Region,9110
Thomaston,900575730,914075730,Naugatuck Valley Planning Region,9140
Thompson,901575870,915075870,Northeastern Connecticut Planning Region,9150
Tolland,901376290,911076290,Capitol Planning Region,9110
Torrington,900576570,916076570,Northwest Hills Planning Region,9160
Trumbull,900177200,912077200,Greater Bridgeport Planning Region,9120
Union,901377830,915077830,Northeastern Connecticut Planning Region,9150
Vernon,901378250,911078250,Capitol Planning Region,9110
Voluntown,901178600,915078600,Northeastern Connecticut Planning Region,9150
Wallingford,900978740,917078740,South Central Connecticut Planning Region,9170
Warren,900579510,916079510,Northwest Hills Planning Region,9160
Washington,900579720,916079720,Northwest Hills Planning Region,9160
Waterbury,900980070,914080070,Naugatuck Valley Planning Region,9140
Waterford,901180280,918080280,Southeastern Connecticut Planning Region,9180
Watertown,900580490,914080490,Naugatuck Valley Planning Region,9140
West Hartford,900382590,911082590,Capitol Planning Region,9110
West Haven,900982870,917082870,South Central Connecticut Planning Region,9170
Westbrook,900781680,913081680,Lower Connecticut River Valley Planning Region,9130
Weston,900183430,919083430,Western Connecticut Planning Region,9190
Westport,900183500,919083500,Western Connecticut Planning Region,9190
Wethersfield,900384900,911084900,Capitol Planning Region,9110
Willington,901385950,911085950,Capitol Planning Region,9110
Wilton,900186370,919086370,Western Connecticut Planning Region,9190
Winchester,900586440,916086440,Northwest Hills Planning Region,9160
Windham,901586790,918086790,Southeastern Connecticut Planning Region,9180
Windsor,900387000,911087000,Capitol Planning Region,9110
Windsor Locks,900387070,911087070,Capitol Planning Region,9110
Wolcott,900987560,914087560,Naugatuck Valley Planning Region,9140
Woodbridge,900987700,917087700,South Central Connecticut Planning Region,9170
Woodbury,900587910,914087910,Naugatuck Valley Planning Region,9140
Woodstock,901588190,915088190,Northeastern Connecticut Planning Region,9150